Wort                                  Start         Ende
--------------------------------------------------------
Ja,                            00:00:07.680 00:00:08.240
mein                           00:00:09.560 00:00:09.740
Name                           00:00:09.740 00:00:09.880
ist                            00:00:09.880 00:00:10.100
Bruno                          00:00:10.100 00:00:10.260
Antnitch                       00:00:10.260 00:00:10.700
und                            00:00:10.700 00:00:11.160
als                            00:00:11.160 00:00:11.540
Frau                           00:00:11.540 00:00:11.880
Andreas                        00:00:11.880 00:00:12.360
mich                           00:00:12.360 00:00:13.120
einlote                        00:00:13.120 00:00:13.580
auf                            00:00:13.580 00:00:13.740
dieser                         00:00:13.740 00:00:13.980
Veranstaltung                  00:00:13.980 00:00:14.580
teilzunehmen,                  00:00:14.580 00:00:15.400
dann                           00:00:15.860 00:00:16.540
war                            00:00:16.540 00:00:16.740
das,                           00:00:16.740 00:00:17.080
wie                            00:00:17.360 00:00:17.800
sie                            00:00:17.800 00:00:17.940
vielleicht                     00:00:17.940 00:00:18.220
gleich                         00:00:18.220 00:00:18.460
verstehen                      00:00:18.460 00:00:18.880
können,                        00:00:18.880 00:00:19.280
die                            00:00:19.480 00:00:19.540
Chance,                        00:00:19.540 00:00:19.780
ich                            00:00:20.260 00:00:20.460
habe                           00:00:20.460 00:00:20.540
zugegriffen,                   00:00:20.540 00:00:21.220
das                            00:00:21.480 00:00:21.580
war                            00:00:21.580 00:00:21.720
sofort,                        00:00:21.720 00:00:21.980
das                            00:00:22.540 00:00:22.660
war,                           00:00:22.660 00:00:22.880
wenn                           00:00:24.020 00:00:25.340
ein                            00:00:25.340 00:00:25.600
Thema,                         00:00:25.600 00:00:26.020
wenn                           00:00:26.280 00:00:27.100
ein                            00:00:27.100 00:00:27.340
Thema                          00:00:27.340 00:00:27.700
mich                           00:00:27.700 00:00:27.920
jetzt                          00:00:27.920 00:00:28.180
seit                           00:00:28.180 00:00:28.340
48                             00:00:28.340 00:00:29.900
Jahren,                        00:00:29.900 00:00:30.600
die                            00:00:30.640 00:00:30.760
ersten                         00:00:30.760 00:00:31.000
Jahre                          00:00:31.000 00:00:31.160
vielleicht                     00:00:31.160 00:00:31.400
nicht                          00:00:31.400 00:00:31.640
ganz                           00:00:31.640 00:00:31.840
überwusst,                     00:00:31.840 00:00:32.320
