filename,source,frame_start,frame_end,time_start,time_end,clip_seconds,fps,detected_rate
08ZWROqoTZo_clip_0000.pickle,08ZWROqoTZo.pickle,300,425,0:12.00,0:17.00,5.0,25.0,0.952
08ZWROqoTZo_clip_0001.pickle,08ZWROqoTZo.pickle,425,550,0:17.00,0:22.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0002.pickle,08ZWROqoTZo.pickle,550,675,0:22.00,0:27.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0003.pickle,08ZWROqoTZo.pickle,675,800,0:27.00,0:32.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0004.pickle,08ZWROqoTZo.pickle,800,925,0:32.00,0:37.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0005.pickle,08ZWROqoTZo.pickle,925,1050,0:37.00,0:42.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0006.pickle,08ZWROqoTZo.pickle,1050,1175,0:42.00,0:47.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0007.pickle,08ZWROqoTZo.pickle,1175,1300,0:47.00,0:52.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0008.pickle,08ZWROqoTZo.pickle,1300,1425,0:52.00,0:57.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0009.pickle,08ZWROqoTZo.pickle,1425,1550,0:57.00,1:02.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0010.pickle,08ZWROqoTZo.pickle,1550,1675,1:02.00,1:07.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0011.pickle,08ZWROqoTZo.pickle,1675,1800,1:07.00,1:12.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0012.pickle,08ZWROqoTZo.pickle,1800,1925,1:12.00,1:17.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0013.pickle,08ZWROqoTZo.pickle,1925,2050,1:17.00,1:22.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0014.pickle,08ZWROqoTZo.pickle,2050,2175,1:22.00,1:27.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0015.pickle,08ZWROqoTZo.pickle,2175,2300,1:27.00,1:32.00,5.0,25.0,1.0
